Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Profile picture,Quote rich,LinkedIn URL,Twitter URL,Job title + Company name,Type,Referenced episodes
Álvaro Sendagorta von Oppenheim,alvaro-sendagorta-von-oppenheim,5f762516f490f5d6b4d6397a,5f762516f490f53d2fd63cad,false,false,Mon Sep 28 2020 10:49:59 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:08 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:08 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff5c7712d41972b72b2f_alvaro.jpeg,"<p>I listen to you every week on the CRO.CAFE podcast, keep up the good work, it's great!!</p>",https://www.linkedin.com/in/%C3%A1lvaro-sendagorta-von-oppenheim-607424137/,,Experience Design & Optimization at Accenture Interactive,Listener,
Daniel Lo-A-Njoe,daniel-lo-a-njoe,5f762516f490f5d6b4d6397a,5f762516f490f54957d63c85,false,true,Mon Aug 17 2020 10:22:21 GMT+0000 (Coordinated Universal Time),Tue Mar 09 2021 22:48:46 GMT+0000 (Coordinated Universal Time),,,,https://nl.linkedin.com/in/daniellouis,,,,
Elise Maile,elise-maile,5f762516f490f5d6b4d6397a,5f762516f490f5c6a2d63c57,false,false,Thu Jun 04 2020 12:38:23 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:34 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:34 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfa05b49812d484143f0a_5ed8eaf672d32108a833f00e_elisemaile.jpeg,"<p>This is probably the best analysis of <a href=""https://www.cro.cafe/podcast/centralized-versus-decentralized-cro"">centralised vs decentralised structures in relation to CRO</a> I've ever seen/heard. There is no one-size-fits-all, both structures have their pros &amp; cons.</p>",https://www.linkedin.com/in/elise-maile/,https://twitter.com/e_maile,Freelance UX and Conversion Rate Optimisation Consultant,Listener,centralized-versus-decentralized-cro
Łukasz Twardowski,lukasz-twardowski,5f762516f490f5d6b4d6397a,5f762516f490f58cb8d63ca4,false,false,Fri Sep 25 2020 08:14:26 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:13 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff61b4e7730e887201cb_lukasz.jpeg,<p>CRO.CAFE is pure gold</p>,https://pl.linkedin.com/in/twardowski,https://twitter.com/luktwardowski,CEO at UseItBetter,Listener,
Mark Nuiver,mark-nuiver,5f762516f490f5d6b4d6397a,5f762516f490f554b6d63c83,false,false,Sat Aug 15 2020 21:08:22 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:30 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:30 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff71606a83b3d96a5e09_marknuiver.jpeg,"<p>As a relative newbee in the CRO field, the podcast is educational, inspiring and sharpens my vision of my daily work. Thanks for that and I look forward to what is to come!</p>",https://www.linkedin.com/in/marknuiver/,https://twitter.com/marknuiver,CRO/UX specialist at Yonego B.V.,Listener,
Michael McMillan,michael-mcmillan,5f762516f490f5d6b4d6397a,5f762516f490f51f92d63c8b,false,false,Mon Aug 24 2020 19:58:55 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:19 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:19 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff66af3e849aeab2caea_michael-mcmillan.jpeg,<p>My team and I have been listening to the podcast and love that we found somebody who talks to a subject near and dear to all our hearts. We have a weekly book club meeting and a monthly growth event. &nbsp;I assign additional training content like the CRO.CAFE podcast out to my org that is discussed as part of those meetings as well.</p>,https://www.linkedin.com/in/michaelcmcmillan,https://twitter.com/mikecmcmillan,Chief Revenue Officer at Aceyus,Listener,
Simbar Dube,simbar-dube,5f762516f490f5d6b4d6397a,5f762516f490f51dffd63c2f,false,false,Fri May 22 2020 20:49:52 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:41 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:41 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff7dab967a64850a53bf_5ec83b2705a9e1b32f0e7f60_simbardube.jpeg,"<p>I enjoy the candid interviews, but my personal fav is the discussion with <a href=""https://www.cro.cafe/podcast/why-cros-should-think-as-a-venture-capitalist"">Sean Sheppard</a>, &amp; <a href=""https://www.cro.cafe/podcast/implementing-behavioral-sciences-in-agile-teams"">Andre Morys</a>. Those are definitely knowledge bombs that changed my perspective in behavioral sciences and how I should think as an Optimizer.‍</p>",https://www.linkedin.com/in/simbar-dube/,https://twitter.com/SimbarDubeZW,Growth Marketing Manager at Invesp ,Listener,why-cros-should-think-as-a-venture-capitalist; implementing-behavioral-sciences-in-agile-teams
Sjoerd Walinga,sjoerd-walinga,5f762516f490f5d6b4d6397a,5f762516f490f5c436d63c84,false,false,Sun Aug 16 2020 20:52:42 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:24 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:24 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfe1695f304f009209529_sjoerd.jpeg,<p>The podcasts are totally worth it if you are interested in CRO and looking for depth and different angles. Pleasant to listen to and valuable to me to listen to.</p>,https://nl.linkedin.com/in/sjoerdwalinga,https://twitter.com/sjoerdwalinga,UX Research strateeg at Concept7,Listener,
